Symbol,Date,Close
BABA,1/22/2019,152.15
BABA,1/23/2019,152.03
BABA,1/24/2019,155.86
BABA,1/25/2019,159.21
BABA,1/28/2019,158.92
BABA,1/29/2019,156.88
BABA,1/30/2019,166.82
BABA,1/31/2019,168.49
BABA,2/1/2019,167.97
BABA,2/4/2019,166.7
BABA,2/5/2019,171.83
BABA,2/6/2019,171.52
BABA,2/7/2019,166.96
BABA,2/8/2019,167.36
BABA,2/11/2019,167.45
BABA,2/12/2019,168.71
BABA,2/13/2019,169.4
BABA,2/14/2019,168.38
BABA,2/15/2019,166.15
BABA,2/19/2019,170.18
BABA,2/20/2019,170.71
BABA,2/21/2019,171.66
BABA,2/22/2019,176.92
BABA,2/25/2019,183.25
BABA,2/26/2019,183.54
BABA,2/27/2019,184.58
BABA,2/28/2019,183.03
BABA,3/1/2019,183.88
BABA,3/4/2019,187.25
BABA,3/5/2019,185
BABA,3/6/2019,184.17
BABA,3/7/2019,177.32
BABA,3/8/2019,175.03
BABA,3/11/2019,180.41
BABA,3/12/2019,180.63
BABA,3/13/2019,180.7
BABA,3/14/2019,180.36
BABA,3/15/2019,180.97
BABA,3/18/2019,181.83
BABA,3/19/2019,182.14
BABA,3/20/2019,181.28
BABA,3/21/2019,181.5
BABA,3/22/2019,176.26
BABA,3/25/2019,178.77
BABA,3/26/2019,178.08
BABA,3/27/2019,177.03
BABA,3/28/2019,177.73
BABA,3/29/2019,182.45
BABA,4/1/2019,180.89
BABA,4/2/2019,181.74
BABA,4/3/2019,178.32
BABA,4/4/2019,181.07
BABA,4/5/2019,185.35
BABA,4/8/2019,186.5
BABA,4/9/2019,187.19
BABA,4/10/2019,186.19
BABA,4/11/2019,184.98
BABA,4/12/2019,188.91
BABA,4/15/2019,183.07
BABA,4/16/2019,185.78
BABA,4/17/2019,187.55
BABA,4/18/2019,186.94
BABA,4/22/2019,185.38
BABA,4/23/2019,187.29
BABA,4/24/2019,185.67
BABA,4/25/2019,187.88
BABA,4/26/2019,187.09
BABA,4/29/2019,186.94
BABA,4/30/2019,185.57
BABA,5/1/2019,189.31
BABA,5/2/2019,190.39
BABA,5/3/2019,195.21
BABA,5/6/2019,188.24
BABA,5/7/2019,181.43
BABA,5/8/2019,179.59
